anio,mes,departamento,score_m4,es_mes_cosecha,percentil_historico
2011,9,Risaralda,-4.9678,0,33.3
2011,10,Risaralda,-10.4715,1,22.2
2011,11,Risaralda,-14.3649,1,11.1
2011,12,Risaralda,-3.8302,1,33.3
2012,1,Risaralda,5.3609,0,50.0
2012,2,Risaralda,-5.709,0,22.2
2012,3,Risaralda,-12.9668,0,5.6
2012,4,Risaralda,-17.3146,1,5.6
2012,5,Risaralda,-18.3483,1,5.6
2012,6,Risaralda,-18.3061,1,5.6
2012,7,Risaralda,-14.2466,0,11.1
2012,8,Risaralda,-14.7037,0,11.1
2012,9,Risaralda,-12.7815,0,11.1
2012,10,Risaralda,-19.5052,1,5.6
2012,11,Risaralda,-18.2655,1,5.6
2012,12,Risaralda,-18.8788,1,5.6
2013,1,Risaralda,-9.5513,0,22.2
2013,2,Risaralda,-6.69,0,16.7
2013,3,Risaralda,-2.7784,0,27.8
2013,4,Risaralda,-15.682,1,11.1
2013,5,Risaralda,-13.8986,1,11.1
2013,6,Risaralda,-15.298,1,11.1
2013,7,Risaralda,-2.5738,0,44.4
2013,8,Risaralda,-5.9652,0,33.3
2013,9,Risaralda,-11.4668,0,16.7
2013,10,Risaralda,-16.1875,1,11.1
2013,11,Risaralda,-6.9484,1,22.2
2013,12,Risaralda,-14.9545,1,16.7
2014,1,Risaralda,-8.5406,0,27.8
2014,2,Risaralda,15.6572,0,88.9
2014,3,Risaralda,-2.1947,0,33.3
2014,4,Risaralda,-13.2059,1,16.7
2014,5,Risaralda,-10.5533,1,16.7
2014,6,Risaralda,-14.3927,1,22.2
2014,7,Risaralda,-12.0291,0,22.2
2014,8,Risaralda,-2.3655,0,44.4
2014,9,Risaralda,-5.1765,0,27.8
2014,10,Risaralda,-11.3999,1,16.7
2014,11,Risaralda,-13.9994,1,16.7
2014,12,Risaralda,-18.6916,1,11.1
2015,1,Risaralda,4.8309,0,44.4
2015,2,Risaralda,9.4006,0,44.4
2015,3,Risaralda,10.4552,0,66.7
2015,4,Risaralda,4.4956,1,55.6
2015,5,Risaralda,2.7921,1,44.4
2015,6,Risaralda,0.4767,1,38.9
2015,7,Risaralda,12.5823,0,94.4
